,precision,recall,f1-score,support
brush_hair,0.7,0.4666666666666667,0.56,30.0
cartwheel,0.3103448275862069,0.3,0.3050847457627119,30.0
catch,0.5121951219512195,0.7,0.5915492957746479,30.0
chew,0.4222222222222222,0.6333333333333333,0.5066666666666667,30.0
clap,0.6111111111111112,0.36666666666666664,0.4583333333333333,30.0
climb,0.5641025641025641,0.7333333333333333,0.6376811594202898,30.0
climb_stairs,0.5333333333333333,0.26666666666666666,0.35555555555555557,30.0
dive,0.45,0.6,0.5142857142857142,30.0
draw_sword,0.3333333333333333,0.3,0.3157894736842105,30.0
dribble,0.6818181818181818,0.5,0.5769230769230769,30.0
drink,0.21951219512195122,0.3,0.2535211267605634,30.0
eat,0.37142857142857144,0.43333333333333335,0.4,30.0
fall_floor,0.3181818181818182,0.23333333333333334,0.2692307692307692,30.0
fencing,0.5454545454545454,0.6,0.5714285714285714,30.0
flic_flac,0.425,0.5666666666666667,0.4857142857142857,30.0
golf,0.625,0.8333333333333334,0.7142857142857143,30.0
handstand,0.5333333333333333,0.5333333333333333,0.5333333333333333,30.0
hit,0.30303030303030304,0.3333333333333333,0.31746031746031744,30.0
hug,0.7307692307692307,0.6333333333333333,0.6785714285714286,30.0
jump,0.72,0.6,0.6545454545454545,30.0
kick,0.2631578947368421,0.16666666666666666,0.20408163265306123,30.0
kick_ball,0.17647058823529413,0.1,0.1276595744680851,30.0
kiss,0.6,0.7,0.6461538461538462,30.0
laugh,0.4594594594594595,0.5666666666666667,0.5074626865671642,30.0
pick,0.2,0.16666666666666666,0.18181818181818182,30.0
pour,0.7058823529411765,0.8,0.75,30.0
pullup,0.7714285714285715,0.9,0.8307692307692308,30.0
punch,0.3939393939393939,0.43333333333333335,0.4126984126984127,30.0
push,0.6486486486486487,0.8,0.7164179104477612,30.0
pushup,0.6842105263157895,0.8666666666666667,0.7647058823529411,30.0
ride_bike,0.5952380952380952,0.8333333333333334,0.6944444444444444,30.0
ride_horse,0.5,0.4666666666666667,0.4827586206896552,30.0
run,0.2765957446808511,0.43333333333333335,0.33766233766233766,30.0
shake_hands,0.8823529411764706,0.5,0.6382978723404256,30.0
shoot_ball,0.5806451612903226,0.6,0.5901639344262295,30.0
shoot_bow,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
shoot_gun,0.4666666666666667,0.23333333333333334,0.3111111111111111,30.0
sit,0.5238095238095238,0.36666666666666664,0.43137254901960786,30.0
situp,0.5625,0.6,0.5806451612903226,30.0
smile,0.7894736842105263,0.5,0.6122448979591837,30.0
smoke,0.5555555555555556,0.3333333333333333,0.4166666666666667,30.0
somersault,0.3409090909090909,0.5,0.40540540540540543,30.0
stand,0.1951219512195122,0.26666666666666666,0.22535211267605634,30.0
swing_baseball,0.5,0.23333333333333334,0.3181818181818182,30.0
sword,0.391304347826087,0.3,0.33962264150943394,30.0
sword_exercise,0.02631578947368421,0.03333333333333333,0.029411764705882353,30.0
talk,0.5135135135135135,0.6333333333333333,0.5671641791044776,30.0
throw,0.11764705882352941,0.06666666666666667,0.0851063829787234,30.0
turn,0.3783783783783784,0.4666666666666667,0.417910447761194,30.0
walk,0.3333333333333333,0.3,0.3157894736842105,30.0
wave,0.08333333333333333,0.06666666666666667,0.07407407407407407,30.0
accuracy,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764
macro avg,0.47748996517348036,0.47058823529411764,0.462594240368877,1530.0
weighted avg,0.4774899651734804,0.47058823529411764,0.4625942403688771,1530.0
